# Data set for elements in the earth from wikipedia data table at
# https://en.wikipedia.org/wiki/Abundances_of_the_elements_(data_page)
# 
# S1 — Sun: Kaye & Laby ("approx" column indicates where values are appromimate for S1)
# Y1 — Solar System: Kaye & Laby
# Y2 — Solar System: Ahrens, with, uncertainty in percent
# Atom mole fraction relative to silicone, (Si = 1)
#
#
number, symbol, name,       "approx",       S1,         Y1,        Y2,        "percent error in Y2"
01, H,      hydrogen,               ,       2.8E4,      2.8E4,     2.79E4,
02, He,     helium,                 ,       2.7E3,      2.7E3,     2.72E3,
03, Li,     lithium,                ,       4.0E−7,     5.7E−5,    5.71E−5,     9.2
04, Be,     beryllium,              ,       4.0E−7,     7.0E−7,    7.30E−7,     9.5
05, B,      boron,                  ,       1.1E−5,     2.1E−5,    2.12E−5,     10
06, C,      carbon,                 ,       1.0E1,      1.0E1,     1.01E1,
07, N,      nitrogen,               ,       3.1E0,      3.1E0,     3.13E0,
08, O,      oxygen,                 ,       2.4E1,      2.4E1,     2.38E1,      10
09, F,      fluorine,       "approx",       1.0E−3,     8.5E−4,    8.43E−4,     15
10, Ne,     neon,                   ,       3.0E0,      3.0E0,     3.44E0,      14
11, Na,     sodium,                 ,       6.0E−2,     5.7E−2,    5.74E−2,     7.1
12, Mg,     magnesium,              ,       1.0E0,      1.1E0,     1.074E0,     3.8
13, Al,     aluminium,              ,       8.3E−2,     8.5E−2,    8.49E−2,     3.6
14, Si,     silicon,                ,       1.0E0,      1.0E0,     1.0E0,       4.4
15, P,      phosphorus,             ,       8.0E−3,     1.0E−2,    1.04E−2,     10
16, S,      sulfur,                 ,       4.5E−1,     5.2E−1,    5.15E−1,     13
17, Cl,     chlorine,       "approx",       9.0E−3,     5.2E−3,    5.24E−3,     15
18, Ar,     argon,                  ,       1.0E−1,     1.0E−1,    1.01E−1,     6
19, K,      potassium,              ,       3.7E−3,     3.8E−3,    3.77E−3,     7.7
20, Ca,     calcium,                ,       6.4E−2,     6.1E−2,    6.11E−2,     7.1
21, Sc,     scandium,               ,       3.5E−5,     3.4E−5,    3.42E−5,     8.6
22, Ti,     titanium,               ,       2.7E−3,     2.4E−3,    2.40E−3,     5.0
23, V,      vanadium,               ,       2.8E−4,     2.9E−4,    2.93E−4,     5.1
24, Cr,     chromium,               ,       1.3E−2,     1.3E−2,    1.35E−2,     7.6
25, Mn,     manganese,              ,       6.9E−3,     9.5E−3,    9.55E−3,     9.6
26, Fe,     iron,                   ,       9.0E−1,     9.0E−1,    9.00E−1,     2.7
27, Co,     cobalt,                 ,       2.3E−3,     2.3E−3,    2.25E−3,     6.6
28, Ni,     nickel,                 ,       5.0E−2,     5.0E−2,    4.93E−2,     5.1
29, Cu,     copper,                 ,       4.5E−4,     5.2E−4,    5.22E−4,     11
30, Zn,     zinc,                   ,       1.1E−3,     1.3E−3,    1.26E−3,     4.4
31, Ga,     gallium,                ,       2.1E−5,     3.8E−5,    3.78E−5,     6.9
32, Ge,     germanium,              ,       7.2E−5,     1.2E−4,    1.19E−4,     9.6
33, As,     arsenic,                ,       ,           6.6E−6,    6.56E−6,     12
34, Se,     selenium,               ,       ,           6.3E−5,    6.21E−5,     6.4
35, Br,     bromine,                ,       ,           1.2E−5,    1.18E−5,     19
36, Kr,     krypton,                ,       ,           4.8E−5,    4.50E−5,     18
37, Rb,     rubidium,               ,       1.1E−5,     7.0E−6,    7.09E−6,     6.6
38, Sr,     strontium,              ,       2.2E−5,     2.4E−5,    2.35E−5,     8.1
39, Y,      yttrium,                ,       4.9E−6,     4.6E−6,    4.64E−6,     6.0
40, Zr,     zirconium,              ,       1.12E−5,    1.14E−5,   1.14E−5,     6.4
41, Nb,     niobium,                ,       7.0E−7,     7.0E−7,    6.98E−7,     1.4
42, Mo,     molybdenum,             ,       2.3E−6,     2.6E−6,    2.55E−6,     5.5
43, Tc,     technetium,             ,       ,             ,            ,
44, Ru,     ruthenium,              ,       1.9E−6,     1.9E−6,    1.86E−6,     5.4
45, Rh,     rhodium,                ,       4.0E−7,     3.4E−7,    3.44E−7,     8
46, Pd,     palladium,              ,       1.4E−6,     1.4E−6,    1.39E−6,     6.6
47, Ag,     silver,         "approx",       2.0E−7,     4.9E−7,    4.86E−7,     2.9
48, Cd,     cadmium,                ,       2.0E−6,     1.6E−6,    1.61E−6,     6.5
49, In,     indium,         "approx",       1.3E−6,     1.9E−7,    1.84E−7,     6.4
50, Sn,     tin,            "approx",       3.0E−6,     3.9E−6,    3.82E−6,     9.4
51, Sb,     antimony,       "approx",       3.0E−7,     3.1E−7,    3.09E−7,     18
52, Te,     tellurium,              ,       ,           4.9E−6,    4.81E−6,     10
53, I,      iodine,                 ,       ,           9.0E−7,    9.00E−7,     21
54, Xe,     xenon,                  ,       ,           4.8E−6,    4.70E−6,     20
55, Cs,     caesium,                ,       ,           3.7E−7,    3.72E−7,     5.6
56, Ba,     barium,                 ,       3.8E−6,     4.5E−6,    4.49E−6,     6.3
57, La,     lanthanum,              ,       5.0E−7,     4.4E−7,    4.46E−7,     2.0
58, Ce,     cerium,                 ,       1.0E−6,     1.1E−6,    1.136E−6,    1.7
59, Pr,     praseodymium,           ,       1.4E−7,     1.7E−7,    1.669E−7,    2.4
60, Nd,     neodymium,              ,       9.0E−7,     8.3E−7,    8.279E−7,    1.3
61, Pm,     promethium,             ,       ,             ,            ,
62, Sm,     samarium,               ,       3.0E−7,     2.6E−7,    2.582E−7,    1.3
63, Eu,     europium,               ,       9.0E−8,     9.7E−8,    9.73E−8,     1.6
64, Gd,     gadolinium,             ,       3.7E−7,     3.3E−7,    3.30E−7,     1.4
65, Tb,     terbium,        "approx",       2.0E−8,     6.0E−8,    6.03E−8,     2.2
66, Dy,     dysprosium,             ,       3.5E−7,     4.0E−7,    3.942E−7,    1.4
67, Ho,     holmium,        "approx",       5.0E−8,     8.9E−8,    8.89E−8,     2.4
68, Er,     erbium,                 ,       2.4E−7,     2.5E−7,    2.508E−7,    1.3
69, Tm,     thulium,        "approx",       3.0E−8,     3.8E−8,    3.78E−8,     2.3
70, Yb,     ytterbium,              ,       3.4E−7,     2.5E−7,    2.479E−7,    1.6
71, Lu,     lutetium,       "approx",       1.5E−7,     3.7E−8,    3.67E−8,     1.3
